date,sku,demand
2026-04-22,SKU-002,90.8
2026-04-23,SKU-002,85.8
2026-04-24,SKU-002,89.8
2026-04-25,SKU-002,116.6
2026-04-26,SKU-002,108.5
2026-04-27,SKU-002,121.1
2026-04-28,SKU-002,104.4
2026-04-29,SKU-002,105.2
2026-04-30,SKU-002,95.7
2026-05-01,SKU-002,95.0
2026-05-02,SKU-002,105.3
2026-05-03,SKU-002,111.3
2026-05-04,SKU-002,120.5
2026-05-05,SKU-002,108.8
2026-05-06,SKU-002,94.0
2026-05-07,SKU-002,87.5
2026-05-08,SKU-002,98.8
2026-05-09,SKU-002,116.8
2026-05-10,SKU-002,117.9
2026-05-11,SKU-002,118.8
2026-05-12,SKU-002,115.0
2026-05-13,SKU-002,111.0
2026-05-14,SKU-002,98.2
2026-05-15,SKU-002,97.0
2026-05-16,SKU-002,115.8
2026-05-17,SKU-002,121.3
2026-05-18,SKU-002,130.5
2026-05-19,SKU-002,116.2
2026-05-20,SKU-002,97.6
2026-05-21,SKU-002,90.5
2026-05-22,SKU-002,111.2
2026-05-23,SKU-002,121.2
2026-05-24,SKU-002,119.4
2026-05-25,SKU-002,120.8
2026-05-26,SKU-002,125.6
2026-05-27,SKU-002,100.0
2026-05-28,SKU-002,95.1
2026-05-29,SKU-002,106.9
2026-05-30,SKU-002,110.3
2026-05-31,SKU-002,122.3
2026-06-01,SKU-002,123.9
2026-06-02,SKU-002,120.6
2026-06-03,SKU-002,116.9
2026-06-04,SKU-002,102.8
2026-06-05,SKU-002,108.6
2026-06-06,SKU-002,102.1
2026-06-07,SKU-002,123.8
2026-06-08,SKU-002,121.6
2026-06-09,SKU-002,113.1
2026-06-10,SKU-002,104.9
2026-06-11,SKU-002,102.0
2026-06-12,SKU-002,112.0
2026-06-13,SKU-002,108.2
2026-06-14,SKU-002,126.0
2026-06-15,SKU-002,125.5
2026-06-16,SKU-002,120.2
2026-06-17,SKU-002,118.0
2026-06-18,SKU-002,109.0
2026-06-19,SKU-002,116.3
2026-06-20,SKU-002,117.0
2026-06-21,SKU-002,123.4
2026-06-22,SKU-002,128.8
2026-06-23,SKU-002,125.4
2026-06-24,SKU-002,114.8
2026-06-25,SKU-002,101.0
2026-06-26,SKU-002,59.1
2026-06-27,SKU-002,121.1
2026-06-28,SKU-002,185.7
2026-06-29,SKU-002,143.2
2026-06-30,SKU-002,120.5
2026-07-01,SKU-002,113.8
2026-07-02,SKU-002,100.5
2026-07-03,SKU-002,108.3
2026-07-04,SKU-002,123.4
2026-07-05,SKU-002,138.3
2026-07-06,SKU-002,129.3
2026-07-07,SKU-002,123.5
2026-07-08,SKU-002,104.4
2026-07-09,SKU-002,110.1
2026-07-10,SKU-002,107.2
2026-07-11,SKU-002,120.1
2026-07-12,SKU-002,127.6
2026-07-13,SKU-002,134.9
2026-07-14,SKU-002,80.7
2026-07-15,SKU-002,110.2
2026-07-16,SKU-002,125.6
2026-07-17,SKU-002,107.6
2026-07-18,SKU-002,118.4
2026-03-21,SKU-003,108.5
2026-03-22,SKU-003,124.3
2026-03-23,SKU-003,124.9
2026-03-24,SKU-003,113.8
2026-03-25,SKU-003,105.2
2026-03-26,SKU-003,91.5
2026-03-27,SKU-003,101.0
2026-03-28,SKU-003,110.5
2026-03-29,SKU-003,123.1
2026-03-30,SKU-003,121.0
2026-03-31,SKU-003,121.0
2026-04-01,SKU-003,114.1
2026-04-02,SKU-003,102.8
2026-04-03,SKU-003,106.6
2026-04-04,SKU-003,65.7
2026-04-05,SKU-003,123.8
2026-04-06,SKU-003,122.1
2026-04-07,SKU-003,122.1
2026-04-08,SKU-003,109.5
2026-04-09,SKU-003,116.4
2026-04-10,SKU-003,115.9
2026-04-11,SKU-003,118.5
2026-04-12,SKU-003,121.3
2026-04-13,SKU-003,121.8
2026-04-14,SKU-003,129.4
2026-04-15,SKU-003,113.7
2026-04-16,SKU-003,108.8
2026-04-17,SKU-003,98.1
2026-04-18,SKU-003,123.8
2026-04-19,SKU-003,130.6
2026-04-20,SKU-003,123.9
2026-04-21,SKU-003,121.5
2026-04-22,SKU-003,80.5
2026-04-23,SKU-003,108.3
2026-04-24,SKU-003,108.9
2026-04-25,SKU-003,119.7
2026-04-26,SKU-003,128.5
2026-04-27,SKU-003,133.5
2026-04-28,SKU-003,135.2
2026-04-29,SKU-003,100.9
2026-04-30,SKU-003,108.6
2026-05-01,SKU-003,113.7
2026-05-02,SKU-003,124.1
2026-05-03,SKU-003,129.8
2026-05-04,SKU-003,124.1
2026-05-05,SKU-003,130.4
2026-05-06,SKU-003,128.7
2026-05-07,SKU-003,102.9
2026-05-08,SKU-003,119.9
2026-05-09,SKU-003,122.4
2026-05-10,SKU-003,180.5
2026-05-11,SKU-003,130.4
2026-05-12,SKU-003,128.5
2026-05-13,SKU-003,128.2
2026-05-14,SKU-003,117.7
2026-05-15,SKU-003,127.2
2026-05-16,SKU-003,133.5
2026-05-17,SKU-003,138.8
2026-05-18,SKU-003,149.2
2026-05-19,SKU-003,135.2
2026-05-20,SKU-003,127.4
2026-05-21,SKU-003,114.5
2026-05-22,SKU-003,119.3
2026-05-23,SKU-003,124.3
2026-05-24,SKU-003,144.1
2026-05-25,SKU-003,133.7
2026-05-26,SKU-003,139.3
2026-05-27,SKU-003,123.4
2026-05-28,SKU-003,125.3
2026-05-29,SKU-003,125.4
2026-05-30,SKU-003,141.5
2026-05-31,SKU-003,144.6
2026-06-01,SKU-003,133.4
2026-06-02,SKU-003,136.3
2026-06-03,SKU-003,119.5
2026-06-04,SKU-003,117.3
2026-06-05,SKU-003,132.0
2026-06-06,SKU-003,136.5
2026-06-07,SKU-003,138.1
2026-06-08,SKU-003,138.9
2026-06-09,SKU-003,138.9
2026-06-10,SKU-003,121.3
2026-06-11,SKU-003,118.4
2026-06-12,SKU-003,126.9
2026-06-13,SKU-003,141.6
2026-06-14,SKU-003,148.0
2026-06-15,SKU-003,133.2
2026-06-16,SKU-003,142.6
2026-06-17,SKU-003,131.1
2026-06-18,SKU-003,127.0
2026-06-19,SKU-003,136.8
2026-06-20,SKU-003,124.4
2026-06-21,SKU-003,142.9
2026-06-22,SKU-003,152.6
2026-06-23,SKU-003,133.4
2026-06-24,SKU-003,141.6
2026-06-25,SKU-003,128.7
2026-06-26,SKU-003,134.2
2026-06-27,SKU-003,135.4
2026-06-28,SKU-003,153.4
2026-06-29,SKU-003,157.5
2026-06-30,SKU-003,146.3
2026-07-01,SKU-003,136.2
2026-07-02,SKU-003,130.2
2026-07-03,SKU-003,126.0
2026-07-04,SKU-003,140.0
2026-07-05,SKU-003,149.6
2026-07-06,SKU-003,155.5
2026-07-07,SKU-003,153.0
2026-07-08,SKU-003,130.5
2026-07-09,SKU-003,129.9
2026-07-10,SKU-003,142.2
2026-07-11,SKU-003,138.5
2026-07-12,SKU-003,147.7
2026-07-13,SKU-003,156.4
2026-07-14,SKU-003,154.1
2026-07-15,SKU-003,139.0
2026-07-16,SKU-003,140.7
2026-07-17,SKU-003,140.5
2026-07-18,SKU-003,150.1
2026-03-21,SKU-004,132.9
2026-03-22,SKU-004,125.1
2026-03-23,SKU-004,129.9
2026-03-24,SKU-004,121.6
2026-03-25,SKU-004,116.4
2026-03-26,SKU-004,117.6
2026-03-27,SKU-004,120.8
2026-03-28,SKU-004,129.0
2026-03-29,SKU-004,128.6
2026-03-30,SKU-004,125.9
2026-03-31,SKU-004,133.9
2026-04-01,SKU-004,120.7
2026-04-02,SKU-004,120.1
2026-04-03,SKU-004,124.2
2026-04-04,SKU-004,130.5
2026-04-05,SKU-004,144.0
2026-04-06,SKU-004,143.5
2026-04-07,SKU-004,139.1
2026-04-08,SKU-004,71.2
2026-04-09,SKU-004,118.6
2026-04-10,SKU-004,123.5
2026-04-11,SKU-004,137.0
2026-04-12,SKU-004,139.4
2026-04-13,SKU-004,147.6
2026-04-14,SKU-004,136.7
2026-04-15,SKU-004,127.5
2026-04-16,SKU-004,127.0
2026-04-17,SKU-004,112.7
2026-04-18,SKU-004,181.5
2026-04-19,SKU-004,135.2
2026-04-20,SKU-004,132.8
2026-04-21,SKU-004,136.6
2026-04-22,SKU-004,135.0
2026-04-23,SKU-004,122.7
2026-04-24,SKU-004,128.2
2026-04-25,SKU-004,143.3
2026-04-26,SKU-004,154.4
2026-04-27,SKU-004,148.7
2026-04-28,SKU-004,151.1
2026-04-29,SKU-004,133.5
2026-04-30,SKU-004,121.7
2026-05-01,SKU-004,125.8
2026-05-02,SKU-004,130.2
2026-05-03,SKU-004,143.5
2026-05-04,SKU-004,149.3
2026-05-05,SKU-004,150.2
2026-05-06,SKU-004,145.6
2026-05-07,SKU-004,120.8
2026-05-08,SKU-004,134.1
2026-05-09,SKU-004,135.2
2026-05-10,SKU-004,154.0
2026-05-11,SKU-004,153.1
2026-05-12,SKU-004,136.7
2026-05-13,SKU-004,143.2
2026-05-14,SKU-004,127.8
2026-05-15,SKU-004,130.9
2026-05-16,SKU-004,137.4
2026-05-17,SKU-004,149.6
2026-05-18,SKU-004,158.8
2026-05-19,SKU-004,148.9
2026-05-20,SKU-004,141.9
2026-05-21,SKU-004,136.0
2026-05-22,SKU-004,144.4
2026-05-23,SKU-004,144.1
2026-05-24,SKU-004,147.0
2026-05-25,SKU-004,165.0
2026-05-26,SKU-004,150.4
2026-05-27,SKU-004,149.0
2026-05-28,SKU-004,138.5
2026-05-29,SKU-004,138.0
2026-05-30,SKU-004,150.6
2026-05-31,SKU-004,170.0
2026-06-01,SKU-004,173.4
2026-06-02,SKU-004,155.2
2026-06-03,SKU-004,145.6
2026-06-04,SKU-004,145.0
2026-06-05,SKU-004,136.1
2026-06-06,SKU-004,152.9
2026-06-07,SKU-004,160.4
2026-06-08,SKU-004,165.1
2026-06-09,SKU-004,152.1
2026-06-10,SKU-004,137.5
2026-06-11,SKU-004,128.4
2026-06-12,SKU-004,82.6
2026-06-13,SKU-004,150.5
2026-06-14,SKU-004,161.2
2026-06-15,SKU-004,177.2
2026-06-16,SKU-004,166.1
2026-06-17,SKU-004,143.6
2026-06-18,SKU-004,145.3
2026-06-19,SKU-004,143.4
2026-06-20,SKU-004,153.9
2026-06-21,SKU-004,166.4
2026-06-22,SKU-004,171.7
2026-06-23,SKU-004,159.8
2026-06-24,SKU-004,158.1
2026-06-25,SKU-004,138.7
2026-06-26,SKU-004,148.3
2026-06-27,SKU-004,173.5
2026-06-28,SKU-004,169.0
2026-06-29,SKU-004,178.9
2026-06-30,SKU-004,164.7
2026-07-01,SKU-004,157.6
2026-07-02,SKU-004,147.6
2026-07-03,SKU-004,149.6
2026-07-04,SKU-004,155.6
2026-07-05,SKU-004,172.6
2026-07-06,SKU-004,167.6
2026-07-07,SKU-004,170.5
2026-07-08,SKU-004,162.9
2026-07-09,SKU-004,152.5
2026-07-10,SKU-004,151.2
2026-07-11,SKU-004,165.4
2026-07-12,SKU-004,170.5
2026-07-13,SKU-004,180.6
2026-07-14,SKU-004,157.9
2026-07-15,SKU-004,156.8
2026-07-16,SKU-004,140.7
2026-07-17,SKU-004,146.3
2026-07-18,SKU-004,173.2
2026-03-21,SKU-005,136.6
2026-03-22,SKU-005,152.6
2026-03-23,SKU-005,143.1
2026-03-24,SKU-005,144.6
2026-03-25,SKU-005,136.9
2026-03-26,SKU-005,129.7
2026-03-27,SKU-005,137.6
2026-03-28,SKU-005,144.7
2026-03-29,SKU-005,156.4
2026-03-30,SKU-005,151.0
2026-03-31,SKU-005,154.4
2026-04-01,SKU-005,148.7
2026-04-02,SKU-005,127.0
2026-04-03,SKU-005,130.2
2026-04-04,SKU-005,153.3
2026-04-05,SKU-005,153.9
2026-04-06,SKU-005,166.2
2026-04-07,SKU-005,149.0
2026-04-08,SKU-005,150.3
2026-04-09,SKU-005,136.3
2026-04-10,SKU-005,139.7
2026-04-11,SKU-005,157.3
2026-04-12,SKU-005,155.5
2026-04-13,SKU-005,154.7
2026-04-14,SKU-005,151.6
2026-04-15,SKU-005,147.0
2026-04-16,SKU-005,128.7
2026-04-17,SKU-005,144.7
2026-04-18,SKU-005,194.2
2026-04-19,SKU-005,167.2
2026-04-20,SKU-005,107.7
2026-04-21,SKU-005,152.2
2026-04-22,SKU-005,136.8
2026-04-23,SKU-005,135.8
2026-04-24,SKU-005,145.0
2026-04-25,SKU-005,152.2
2026-04-26,SKU-005,161.5
2026-04-27,SKU-005,164.7
2026-04-28,SKU-005,160.8
2026-04-29,SKU-005,143.5
2026-04-30,SKU-005,147.7
2026-05-01,SKU-005,150.1
2026-05-02,SKU-005,158.2
2026-05-03,SKU-005,169.0
2026-05-04,SKU-005,170.1
2026-05-05,SKU-005,174.4
2026-05-06,SKU-005,151.7
2026-05-07,SKU-005,144.2
2026-05-08,SKU-005,144.2
2026-05-09,SKU-005,195.3
2026-05-10,SKU-005,160.8
2026-05-11,SKU-005,165.7
2026-05-12,SKU-005,164.4
2026-05-13,SKU-005,156.8
2026-05-14,SKU-005,149.0
2026-05-15,SKU-005,146.8
2026-05-16,SKU-005,166.6
2026-05-17,SKU-005,175.4
2026-05-18,SKU-005,172.7
2026-05-19,SKU-005,163.6
2026-05-20,SKU-005,160.8
2026-05-21,SKU-005,152.5
2026-05-22,SKU-005,145.4
2026-05-23,SKU-005,163.4
2026-05-24,SKU-005,175.2
2026-05-25,SKU-005,170.9
2026-05-26,SKU-005,171.3
2026-05-27,SKU-005,151.4
2026-05-28,SKU-005,162.0
2026-05-29,SKU-005,164.2
2026-05-30,SKU-005,165.0
2026-05-31,SKU-005,178.4
2026-06-01,SKU-005,164.5
2026-06-02,SKU-005,165.9
2026-06-03,SKU-005,161.0
2026-06-04,SKU-005,150.2
2026-06-05,SKU-005,163.6
2026-06-06,SKU-005,181.1
2026-06-07,SKU-005,171.8
2026-06-08,SKU-005,176.5
2026-06-09,SKU-005,176.9
2026-06-10,SKU-005,175.1
2026-06-11,SKU-005,152.0
2026-06-12,SKU-005,163.5
2026-06-13,SKU-005,182.7
2026-06-14,SKU-005,171.6
2026-06-15,SKU-005,176.5
2026-06-16,SKU-005,175.6
2026-06-17,SKU-005,164.9
2026-06-18,SKU-005,166.8
2026-06-19,SKU-005,166.1
2026-06-20,SKU-005,163.8
2026-06-21,SKU-005,187.3
2026-06-22,SKU-005,183.4
2026-06-23,SKU-005,188.4
2026-06-24,SKU-005,167.0
2026-06-25,SKU-005,160.8
2026-06-26,SKU-005,170.5
2026-06-27,SKU-005,181.6
2026-06-28,SKU-005,189.5
2026-06-29,SKU-005,179.4
2026-06-30,SKU-005,186.6
2026-07-01,SKU-005,167.2
2026-07-02,SKU-005,168.7
2026-07-03,SKU-005,161.4
2026-07-04,SKU-005,182.4
2026-07-05,SKU-005,184.6
2026-07-06,SKU-005,184.5
2026-07-07,SKU-005,190.3
2026-07-08,SKU-005,177.5
2026-07-09,SKU-005,166.2
2026-07-10,SKU-005,181.3
2026-07-11,SKU-005,179.7
2026-07-12,SKU-005,192.3
2026-07-13,SKU-005,196.4
2026-07-14,SKU-005,185.0
2026-07-15,SKU-005,181.5
2026-07-16,SKU-005,169.3
2026-07-17,SKU-005,172.8
2026-07-18,SKU-005,193.2
