shipment_id,sku,on_time,lead_time_days
103,SKU-004,1,1.7
104,SKU-002,1,3.8
105,SKU-005,1,4.1
106,SKU-004,1,2.6
107,SKU-005,1,2.2
108,SKU-002,1,2.4
109,SKU-004,1,3.2
110,SKU-003,1,2.0
111,SKU-001,0,6.2
112,SKU-001,1,3.5
113,SKU-003,1,5.5
114,SKU-002,1,6.4
115,SKU-001,1,1.9
116,SKU-003,1,4.8
117,SKU-004,1,5.9
118,SKU-002,1,4.7
119,SKU-005,1,3.6
120,SKU-004,1,3.7
121,SKU-003,1,1.7
122,SKU-005,1,4.2
123,SKU-003,1,6.5
124,SKU-001,1,6.3
125,SKU-001,1,1.7
126,SKU-005,1,5.0
127,SKU-005,0,3.0
128,SKU-004,1,6.0
129,SKU-001,1,1.7
130,SKU-002,1,6.2
131,SKU-001,1,5.7
132,SKU-001,1,2.1
133,SKU-002,1,1.8
134,SKU-003,1,5.7
135,SKU-001,1,2.3
136,SKU-005,1,4.2
137,SKU-003,0,6.1
138,SKU-002,1,4.3
139,SKU-003,1,3.5
140,SKU-004,0,3.7
141,SKU-002,1,1.8
142,SKU-001,1,6.3
143,SKU-001,1,3.1
144,SKU-005,1,2.4
145,SKU-001,1,2.9
146,SKU-004,1,6.3
147,SKU-002,1,2.0
148,SKU-004,1,5.8
149,SKU-001,1,5.0
150,SKU-005,1,5.7
151,SKU-004,1,6.4
152,SKU-003,1,5.7
153,SKU-002,1,6.2
154,SKU-005,1,2.1
155,SKU-002,1,5.5
156,SKU-003,1,4.2
157,SKU-002,1,4.2
158,SKU-002,0,6.0
159,SKU-003,1,6.4
160,SKU-001,1,5.0
161,SKU-001,1,3.9
162,SKU-002,1,3.8
163,SKU-001,1,3.4
164,SKU-003,1,3.3
165,SKU-005,1,3.5
166,SKU-001,1,1.9
167,SKU-001,1,1.9
168,SKU-001,1,5.4
169,SKU-003,1,3.7
170,SKU-002,1,6.2
171,SKU-003,1,4.6
172,SKU-001,1,1.7
173,SKU-002,1,2.3
174,SKU-003,1,2.5
175,SKU-003,1,6.4
176,SKU-003,1,2.6
177,SKU-004,1,4.1
178,SKU-003,1,6.2
179,SKU-005,1,6.4
180,SKU-003,1,2.7
181,SKU-002,1,1.7
182,SKU-002,1,2.3
183,SKU-002,1,1.8
184,SKU-003,0,2.5
185,SKU-002,1,4.3
186,SKU-005,1,6.1
187,SKU-003,1,4.2
188,SKU-005,1,4.6
189,SKU-004,1,2.5
190,SKU-002,1,5.5
191,SKU-002,1,4.6
192,SKU-004,1,5.8
193,SKU-002,1,6.2
194,SKU-002,1,3.2
195,SKU-005,1,2.0
196,SKU-003,1,2.6
197,SKU-001,1,3.7
198,SKU-003,1,6.2
199,SKU-003,1,3.4
200,SKU-005,1,5.4
201,SKU-004,1,4.2
202,SKU-001,1,2.4
203,SKU-001,1,3.1
204,SKU-004,1,4.8
205,SKU-001,1,4.9
206,SKU-002,1,3.7
207,SKU-001,1,2.6
208,SKU-001,0,5.1
209,SKU-005,1,2.3
210,SKU-001,1,6.2
211,SKU-001,1,2.4
212,SKU-005,1,2.0
213,SKU-001,1,4.0
214,SKU-005,1,4.1
215,SKU-001,1,4.0
216,SKU-001,1,3.7
217,SKU-001,1,6.5
218,SKU-004,1,3.9
219,SKU-004,1,3.9
220,SKU-003,1,3.6
221,SKU-002,1,1.8
222,SKU-001,1,4.5
223,SKU-003,1,2.6
224,SKU-002,1,4.7
225,SKU-003,1,1.8
226,SKU-004,1,6.4
227,SKU-005,1,3.8
228,SKU-003,1,6.0
229,SKU-001,1,3.9
230,SKU-002,1,1.8
231,SKU-005,1,5.6
232,SKU-003,1,4.7
233,SKU-004,1,5.4
234,SKU-003,1,3.6
235,SKU-001,1,4.7
236,SKU-005,1,5.8
237,SKU-004,1,4.7
238,SKU-005,1,3.2
239,SKU-005,1,4.8
240,SKU-002,0,4.9
241,SKU-002,1,6.3
242,SKU-002,1,3.4
243,SKU-005,1,3.6
244,SKU-003,1,5.6
245,SKU-003,1,4.0
246,SKU-005,1,5.2
247,SKU-004,1,3.8
248,SKU-005,1,2.6
249,SKU-005,1,5.2
250,SKU-001,1,2.2
251,SKU-002,1,2.5
252,SKU-004,1,4.6
253,SKU-005,1,5.2
254,SKU-001,1,6.0
255,SKU-002,0,2.9
256,SKU-003,1,2.1
257,SKU-004,1,6.3
258,SKU-001,1,2.3
259,SKU-004,1,2.5
260,SKU-002,1,3.0
261,SKU-002,1,4.1
262,SKU-003,1,5.9
263,SKU-003,1,5.3
264,SKU-004,1,5.0
265,SKU-002,1,2.4
266,SKU-005,1,3.3
267,SKU-001,1,3.9
268,SKU-005,1,2.2
269,SKU-001,1,2.9
270,SKU-004,1,3.0
271,SKU-002,1,2.1
272,SKU-002,1,4.3
273,SKU-001,1,5.0
274,SKU-004,1,1.8
275,SKU-001,1,3.9
276,SKU-004,1,5.4
277,SKU-004,1,5.2
278,SKU-005,0,5.6
279,SKU-004,1,3.7
280,SKU-002,1,5.6
281,SKU-004,1,2.7
282,SKU-005,1,3.3
283,SKU-002,1,2.4
284,SKU-001,1,3.8
285,SKU-005,1,3.5
286,SKU-001,1,2.7
287,SKU-003,1,5.3
288,SKU-002,1,3.1
289,SKU-001,1,2.9
290,SKU-004,1,2.2
291,SKU-001,1,3.7
292,SKU-004,1,3.0
293,SKU-004,1,3.3
294,SKU-001,1,2.7
295,SKU-001,0,5.3
296,SKU-004,0,6.2
297,SKU-003,0,4.0
298,SKU-001,1,4.7
299,SKU-005,1,5.8
300,SKU-002,0,6.5
301,SKU-001,1,4.6
302,SKU-005,1,5.9
303,SKU-001,1,6.0
304,SKU-003,1,5.5
305,SKU-005,1,3.8
306,SKU-003,1,1.9
307,SKU-003,1,1.6
308,SKU-002,1,3.9
309,SKU-001,1,4.0
310,SKU-003,1,3.5
311,SKU-005,1,4.3
312,SKU-001,1,4.3
313,SKU-005,1,5.7
314,SKU-003,1,2.0
315,SKU-003,1,2.6
316,SKU-001,1,5.5
317,SKU-004,1,5.7
318,SKU-001,1,6.5
319,SKU-002,1,5.9
320,SKU-004,1,5.9
321,SKU-001,1,3.1
322,SKU-003,0,3.5
323,SKU-003,1,2.8
324,SKU-001,1,4.5
325,SKU-002,1,6.2
326,SKU-002,1,3.2
327,SKU-004,1,4.3
328,SKU-005,1,3.0
329,SKU-005,1,2.3
330,SKU-001,1,2.5
331,SKU-001,1,1.8
332,SKU-001,1,6.2
333,SKU-003,1,3.5
334,SKU-001,1,5.7
335,SKU-002,1,4.9
336,SKU-005,1,2.5
337,SKU-005,1,2.4
338,SKU-005,1,5.6
339,SKU-002,1,2.8
340,SKU-004,1,6.1
341,SKU-004,1,2.2
342,SKU-001,1,4.9
343,SKU-003,1,5.6
344,SKU-003,0,2.7
345,SKU-002,0,2.9
346,SKU-004,1,6.3
347,SKU-004,1,2.8
348,SKU-003,1,3.6
349,SKU-004,1,3.7
350,SKU-004,1,2.8
351,SKU-003,1,5.4
352,SKU-002,1,5.4
353,SKU-004,1,3.4
354,SKU-004,1,5.7
355,SKU-005,1,2.6
356,SKU-001,1,1.5
357,SKU-003,1,4.4
358,SKU-005,1,6.5
359,SKU-003,0,1.7
360,SKU-005,0,2.5
361,SKU-001,1,4.1
362,SKU-001,1,5.5
363,SKU-004,1,1.9
364,SKU-002,1,3.5
365,SKU-003,1,5.2
366,SKU-003,1,3.4
367,SKU-003,1,2.4
368,SKU-005,1,2.5
369,SKU-001,0,3.6
370,SKU-004,1,3.9
371,SKU-005,1,5.8
372,SKU-004,1,4.7
373,SKU-002,1,5.0
374,SKU-001,1,6.4
375,SKU-004,1,3.6
376,SKU-003,1,3.5
377,SKU-001,1,6.1
378,SKU-002,1,2.7
379,SKU-005,1,5.1
380,SKU-002,1,5.3
381,SKU-001,1,2.0
382,SKU-004,1,3.8
383,SKU-001,0,2.5
384,SKU-005,1,2.4
385,SKU-005,1,3.8
386,SKU-005,1,2.9
387,SKU-005,1,5.5
388,SKU-002,1,6.0
389,SKU-002,1,5.5
390,SKU-002,1,2.8
391,SKU-003,1,2.9
392,SKU-005,1,2.8
393,SKU-004,1,2.2
394,SKU-004,1,6.2
395,SKU-005,1,3.5
396,SKU-004,1,2.6
397,SKU-002,1,5.7
398,SKU-003,1,3.5
399,SKU-003,1,1.7
